smiles,regression_logP
CC1(C)C2CCC3(C2)C1C(=O)CCC3(C)C,3.818000000000003
COC(=O)CCSC,0.9125
CC(C)=CCCC(C)CCO,2.7513000000000014
CCOC(=O)CC(C)C,1.5956
C=CCCCCCCCCCO,3.2855000000000016
CCOC(=O)c1ccccc1NCC1CCC(C)=CC1C,4.267600000000003
CC(=O)C1CC2C(C=C1C)C2(C)C,2.8138000000000014
C=C(C)[C@H]1CC=C(C)C(=O)C1,2.4879000000000007
CC(=O)OCCC1=CCC2CC1C2(C)C,2.9320000000000013
CCCCCCCCOC=O,2.5199000000000007
CC1=CCC(=C(C)C)CC1,3.4530000000000016
CC1CCC(CO)C(C)C1,2.051
CCOCCC(C)CCC=C(C)C,3.7955000000000028
C#CC1(OC(C)=O)CCCCC1C(C)CC,3.1578000000000017
CC(C)c1ccc2ncccc2c1,3.3582000000000027
CC=C(C)C1CCC(C)(C)O1,2.910200000000001
COCc1ccccc1,1.833
CC(=O)/C(C)=C/CC1CC=C(C)C1(C)C,3.904200000000003
CC(C)CC(C)CCCC(C)O,3.2197000000000027
C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,5.581200000000006
CC(=O)C(C)O,-0.043800000000000006
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,2.7643000000000013
CC(O)C(=O)O,-0.5482
CC(C)O,0.3871000000000001
CC=Cc1ccc(OC(C)=O)c(OC)c1,2.653600000000001
CCCCOC(=O)C(C)OC(=O)CCC,2.0615
Sc1ccccc1,1.9753
CC(C)c1ccc(CC=O)cc1,2.551400000000001
c1ccc2scnc2c1,2.2963
CCCCS,1.7163
CC/C=C\CCOC(C)OCC,2.7418000000000013
O=C1CCCCCCCCCCOCCCCO1,3.850900000000003
CCC(C)=O,0.9854
CCCCCC(=O)OCCCC,2.910000000000001
CC(C)COC(=O)C(C)C,1.8416
CCCCC(CC)C1OCCO1,2.5757000000000003
CCCCOC(=O)C(C)CC,2.375800000000001
CC1=CC(C)C(C=O)CC1,2.1777
CCCCOC(=O)CC,1.7397
CC(O)C(C)C(C)C(C)C(C)(C)C,3.321600000000002
CCCCN,0.7452000000000001
CCCC=O,0.9854
CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,4.410500000000004
Cc1cccc(O)c1,1.7006199999999998
CCCCCCCCCCOC,3.773500000000003
Cc1ccccc1O,1.70062
CC(C=O)Cc1ccc2c(c1)OCO2,1.7928
CCCCCCCCCC(=O)O,3.2117000000000013
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,4.525200000000004
CCCCCCC/C=C/C=O,3.1020000000000016
C=COCCCCCCCCCC,4.287200000000004
CCCCCC=C1CCCC1=O,3.246100000000002
C=C(C)[C@@H]1CC=C(C)CC1,3.3089000000000017
CCC(C)(O)CCCC(C)C,2.973700000000002
C=CC(C)(O)CCC=C(C)C,2.6698000000000013
C=CC(C)(CCC=C(C)C)OC(C)=O,3.2406000000000024
C=CC(C)(CCC=C(C)C)OC(=O)CC,3.6307000000000023
CC(=O)C(=O)CC(C)C,1.1906
CC(C)(O)CCCC1=CCC(C=O)CC1,2.853000000000001
CC/C=C\CCOC(=O)CCCCC,3.4662000000000024
CC1OC(C)C2Cc3ccccc3C2O1,2.6813000000000007
CC(C)COC(=O)c1ccccc1N,2.0816
Cc1cccc2ccccc12,3.1482200000000016
CCC(C)COC(C)=O,1.5956
C/C=C/C(=O)CCCC,2.3218000000000005
CCCCCCCCCCC(=O)O,3.6018000000000017
CSSC,1.6274
CSSSC,2.2756
COC1=C(C)OC(C)C1=O,0.8521
Cc1nccnc1C,1.09344
CC(C)[C@@H]1CC[C@@H](C)CC1=O,2.6477000000000013
Cc1cnc(C)cn1,1.09344
Cc1cncc(C)n1,1.0934399999999995
CC1SSC(C)S1,2.8066000000000013
COC(C)(C)CCCC(C)CC=O,2.8068000000000013
CCCCCCCCCCCC(=O)O,3.991900000000002
CC(=O)c1ccc(C)cc1,2.197620000000001
COC(=O)c1ccccc1N,1.0554
CCOc1nccnc1C,1.18372
C=CC(=O)OCC,0.7354999999999999
CCOC(=O)CCSC,1.3026
CCCCCCCCCCCCCCCC(=O)OCC,6.030800000000006
COC(=O)/C=C/c1ccccc1,1.8728
CCc1ncc(C)nc1C,1.6558400000000002
C=CCc1ccc(OC)c(OC)c1,2.432300000000001
CCCCCCCC(C)=O,2.935900000000002
CCc1ccc(C)nc1,1.95242
CCc1cnc(C)cn1,1.3474199999999998
CC(=O)c1cccc2ccccc12,3.042400000000001
CCc1cnccn1,1.0390000000000001
CCCCCCC#CC(=O)OC,2.1332000000000004
O=CO,-0.2992
COC(=O)Cc1ccccc1,1.4021
O=Cc1ccco1,1.0920999999999998
SCc1ccco1,1.7093999999999998
OCC(O)CO,-1.6681
COC(=O)c1ccccc1O,1.1787999999999998
NCC(=O)O,-0.9703
CCCCCCC(=O)O,2.0414
CCCC=CC(C)=O,1.9317
CCCCCCCOC(=O)C(C)C,3.156000000000001
